id,reference,name,name_localized
9f815227-3b59-40b7-a522-390bf80da02d,,"Pro | Milk",
9d76be85-0ced-4c1f-b56f-9fbdf1a4e8bc,,"Coffee | Shots",
9cdfc461-cd9d-44e4-85f2-6f2f1503b467,,"Milk | Medium",
9cdf625b-9d33-4049-97c2-ee63ff4f8386,,"Milk | Large",
9cddcb75-dfa5-4b81-904e-53afec316cf3,,Delivery,
9c3852f0-d5ea-476e-b209-d0e92108f2bf,,Topping,
9b73d230-eb52-47a1-8621-9830f3a5ee37,,"Hot Milk","حليب ساخن"
99441b7f-4e0b-4868-8af5-9a7e2b83e087,,Cups,كوب
98d1f6b8-24d0-43b0-b2d2-24cdcfccd677,35,Flavors,
958c955e-85f4-4004-8c83-9717b6954e4a,11,Option,
92a842cb-5ab1-4fb5-a86a-e87fa223a29a,15,Color,
928883e2-31ea-4d77-88c4-fce6cb0feefa,22,Extra,
