Product,Product SKU,Gross Sales,(Gross Sales %),Net Sales With Tax,Taxes,Discount Amount,Gross Sales Without Tax,Net Sales,(Net Sales %),Net Quantity,Cost,Return Amount,Return Quantity,Void Amount,Void Quantity,Profit
ICED | Black Spanish (M),PIC-101,4.8,1.03 %,4.8,0,0,4.8,4.8,1.07 %,2,0.58817,0,0,0,0,4.21183
HOT | Spanish Latte (M),PHT-115,15.8,3.4 %,15.8,0,0,15.8,15.8,3.54 %,8,2.14058,0,0,1.95,1,13.65942
ICED | Spanish Latte (M),PIC-110,19.5,4.2 %,17.75334,0,1.74666,19.5,17.75334,3.97 %,10,2.79473,0,0,4.1,2,14.95861
HOT | Americano (M),PHT-101,10.8,2.32 %,10.8,0,0,10.8,10.8,2.42 %,9,0.99831,0,0,0,0,9.80169
Tower Drip (M),PIC-104,8.5,1.83 %,8.5,0,0,8.5,8.5,1.9 %,5,0.78084,0,0,1.7,1,7.71916
ICED | Latte (M),PIC-108,3.2,0.69 %,3.2,0,0,3.2,3.2,0.72 %,2,0.50497,0,0,0,0,2.69503
ICED | Matcha,PBR-102,19.2,4.13 %,19.2,0,0,19.2,19.2,4.3 %,10,4.0301,0,0,0,0,15.1699
ICED | Salted Caramel (M),PIC-109,4.2,0.9 %,4.2,0,0,4.2,4.2,0.94 %,2,0.67064,0,0,0,0,3.52936
HOT | Cacao Latte,PHT-103,2.25,0.48 %,2.25,0,0,2.25,2.25,0.5 %,1,0.36838,0,0,0,0,1.88162
HOT | Cappuccino,PHT-104,3,0.65 %,3,0,0,3,3,0.67 %,2,0.32407,0,0,1.5,1,2.67593
Cortado,PHT-106,3,0.65 %,3,0,0,3,3,0.67 %,2,0.38382,0,0,0,0,2.61618
Double Espresso,PHT-107,22.5,4.84 %,22.5,0,0,22.5,22.5,5.04 %,18,2.27946,0,0,0,0,20.22054
Flat White,PHT-109,4.5,0.97 %,4.5,0,0,4.5,4.5,1.01 %,3,0.5991,0,0,0,0,3.9009
HOT | Chocolate,PHT-110,5.85,1.26 %,5.85,0,0,5.85,5.85,1.31 %,3,0.98852,0,0,0,0,4.86148
HOT | Latte,PHT-111,10.5,2.26 %,9,0,1.5,10.5,9,2.01 %,7,1.16045,0,0,0,0,7.83955
HOT | Tea,PHT-116,2.5,0.54 %,2.5,0,0,2.5,2.5,0.56 %,2,0.21306,0,0,0,0,2.28694
Halloumi Sandwich,PSD-104,21,4.52 %,15.75,0,5.25,21,15.75,3.53 %,12,4.684,0,0,0,0,11.066
