product_name,product_name_localized,product_sku,modifier_name,modifier_name_localized,modifier_reference,minimum_options,maximum_options,free_options,default_options,unique_options
ICED | Black Spanish (M),ICED | Black Spanish (M),ICE_BLACK_SPANISH_M,Extra,اضافي,Extra,0,10,0,,1
ICED | Black Spanish (M),ICED | Black Spanish (M),ICE_BLACK_SPANISH_M,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | Spanish Latte (M),HOT | Spanish Latte (M),HOT_SPANISH_LATTE_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | Spanish Latte (M),HOT | Spanish Latte (M),HOT_SPANISH_LATTE_M,Extra,اضافي,Extra,0,10,0,,1
HOT | Spanish Latte (M),HOT | Spanish Latte (M),HOT_SPANISH_LATTE_M,Hot Milk,حليب ساخن,HOT_MILK,0,10,0,,1
HOT | Spanish Latte (M),HOT | Spanish Latte (M),HOT_SPANISH_LATTE_M,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Black Coffee (M),ICED | Black Coffee (M),ICE_BLACK_COFFEE_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Black Coffee (M),ICED | Black Coffee (M),ICE_BLACK_COFFEE_M,Extra,اضافي,Extra,0,10,0,,1
ICED | Black Coffee (M),ICED | Black Coffee (M),ICE_BLACK_COFFEE_M,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Cappuccino (M),ICED | Cappuccino (M),ICE_CAPPUCCINO_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Cappuccino (M),ICED | Cappuccino (M),ICE_CAPPUCCINO_M,Extra,اضافي,Extra,0,10,0,,1
ICED | Cappuccino (M),ICED | Cappuccino (M),ICE_CAPPUCCINO_M,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Latte (M),ICED | Latte (M),ICE_LATTE_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Latte (M),ICED | Latte (M),ICE_LATTE_M,Extra,اضافي,Extra,0,10,0,,1
ICED | Latte (M),ICED | Latte (M),ICE_LATTE_M,Delivery,ديليفري,Delivery,1,1,0,,1
