         table_name          | table_schema |      column_name       | ordinal_position |        data_type         | is_nullable |                     column_default                     
-----------------------------+--------------+------------------------+------------------+--------------------------+-------------+--------------------------------------------------------
 admin_activity_logs         | catalog      | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 admin_activity_logs         | catalog      | ts                     |                2 | timestamp with time zone | NO          | now()
 admin_activity_logs         | catalog      | level                  |                3 | text                     | NO          | 'info'::text
 admin_activity_logs         | catalog      | scope                  |                4 | text                     | NO          | 
 admin_activity_logs         | catalog      | tenant_id              |                5 | uuid                     | YES         | 
 admin_activity_logs         | catalog      | actor                  |                6 | text                     | YES         | 
 admin_activity_logs         | catalog      | action                 |                7 | text                     | YES         | 
 admin_activity_logs         | catalog      | path                   |                8 | text                     | YES         | 
 admin_activity_logs         | catalog      | method                 |                9 | text                     | YES         | 
 admin_activity_logs         | catalog      | status                 |               10 | integer                  | YES         | 
 admin_activity_logs         | catalog      | duration_ms            |               11 | integer                  | YES         | 
 admin_activity_logs         | catalog      | ip                     |               12 | text                     | YES         | 
 admin_activity_logs         | catalog      | user_agent             |               13 | text                     | YES         | 
 admin_activity_logs         | catalog      | meta                   |               14 | jsonb                    | YES         | 
 admin_activity_logs         | public       | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 admin_activity_logs         | public       | ts                     |                2 | timestamp with time zone | NO          | now()
 admin_activity_logs         | public       | level                  |                3 | text                     | NO          | 'info'::text
 admin_activity_logs         | public       | scope                  |                4 | text                     | NO          | 
 admin_activity_logs         | public       | tenant_id              |                5 | uuid                     | YES         | 
 admin_activity_logs         | public       | actor                  |                6 | text                     | YES         | 
 admin_activity_logs         | public       | action                 |                7 | text                     | YES         | 
 admin_activity_logs         | public       | path                   |                8 | text                     | YES         | 
 admin_activity_logs         | public       | method                 |                9 | text                     | YES         | 
 admin_activity_logs         | public       | status                 |               10 | integer                  | YES         | 
 admin_activity_logs         | public       | duration_ms            |               11 | integer                  | YES         | 
 admin_activity_logs         | public       | ip                     |               12 | text                     | YES         | 
 admin_activity_logs         | public       | user_agent             |               13 | text                     | YES         | 
 admin_activity_logs         | public       | meta                   |               14 | jsonb                    | YES         | 
 admin_activity_logs         | saas         | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 admin_activity_logs         | saas         | ts                     |                2 | timestamp with time zone | NO          | now()
 admin_activity_logs         | saas         | level                  |                3 | text                     | NO          | 'info'::text
 admin_activity_logs         | saas         | scope                  |                4 | text                     | NO          | 
 admin_activity_logs         | saas         | tenant_id              |                5 | uuid                     | YES         | 
 admin_activity_logs         | saas         | actor                  |                6 | text                     | YES         | 
 admin_activity_logs         | saas         | action                 |                7 | text                     | YES         | 
 admin_activity_logs         | saas         | path                   |                8 | text                     | YES         | 
 admin_activity_logs         | saas         | method                 |                9 | text                     | YES         | 
 admin_activity_logs         | saas         | status                 |               10 | integer                  | YES         | 
 admin_activity_logs         | saas         | duration_ms            |               11 | integer                  | YES         | 
 admin_activity_logs         | saas         | ip                     |               12 | text                     | YES         | 
 admin_activity_logs         | saas         | user_agent             |               13 | text                     | YES         | 
 admin_activity_logs         | saas         | meta                   |               14 | jsonb                    | YES         | 
 branches                    | catalog      | branch_id              |                1 | uuid                     | NO          | gen_random_uuid()
 branches                    | catalog      | tenant_id              |                2 | uuid                     | NO          | 
 branches                    | catalog      | branch_name            |                3 | text                     | NO          | 
 branches                    | catalog      | created_at             |                4 | timestamp with time zone | NO          | now()
 branches                    | catalog      | id                     |                5 | uuid                     | YES         | 
 branches                    | saas         | branch_id              |                1 | uuid                     | NO          | gen_random_uuid()
 branches                    | saas         | tenant_id              |                2 | uuid                     | NO          | 
 branches                    | saas         | branch_name            |                3 | character varying        | NO          | 
 branches                    | saas         | location               |                4 | character varying        | YES         | 
 branches                    | saas         | expiry_date            |                5 | date                     | YES         | 
 branches                    | saas         | is_active              |                6 | boolean                  | NO          | true
 branches                    | saas         | created_at             |                7 | timestamp with time zone | NO          | now()
 branches                    | saas         | updated_at             |                8 | timestamp with time zone | NO          | now()
 branches                    | saas         | deleted_at             |                9 | timestamp with time zone | YES         | 
 device_activation_codes     | catalog      | code                   |                1 | text                     | NO          | 
 device_activation_codes     | catalog      | tenant_id              |                2 | uuid                     | NO          | 
 device_activation_codes     | catalog      | created_at             |                3 | timestamp with time zone | NO          | now()
 device_activation_codes     | catalog      | expires_at             |                4 | timestamp with time zone | NO          | 
 device_activation_codes     | catalog      | claimed_at             |                5 | timestamp with time zone | YES         | 
 device_activation_codes     | catalog      | device_id              |                6 | uuid                     | YES         | 
 device_activation_codes     | catalog      | meta                   |                7 | jsonb                    | NO          | '{}'::jsonb
 device_activation_codes     | catalog      | status                 |                8 | USER-DEFINED             | NO          | 'pending'::device_activation_status
 device_activation_codes     | catalog      | role                   |                9 | USER-DEFINED             | YES         | 
 device_activation_codes     | public       | code                   |                1 | text                     | NO          | 
 device_activation_codes     | public       | tenant_id              |                2 | uuid                     | NO          | 
 device_activation_codes     | public       | created_at             |                3 | timestamp with time zone | NO          | now()
 device_activation_codes     | public       | expires_at             |                4 | timestamp with time zone | NO          | 
 device_activation_codes     | public       | claimed_at             |                5 | timestamp with time zone | YES         | 
 device_activation_codes     | public       | device_id              |                6 | uuid                     | YES         | 
 device_activation_codes     | public       | meta                   |                7 | jsonb                    | NO          | '{}'::jsonb
 device_activation_codes     | public       | status                 |                8 | USER-DEFINED             | NO          | 'pending'::device_activation_status
 device_activation_codes     | public       | role                   |                9 | USER-DEFINED             | YES         | 
 device_events               | catalog      | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 device_events               | catalog      | device_id              |                2 | uuid                     | NO          | 
 device_events               | catalog      | tenant_id              |                3 | uuid                     | NO          | 
 device_events               | catalog      | event_type             |                4 | text                     | NO          | 
 device_events               | catalog      | meta                   |                5 | jsonb                    | NO          | '{}'::jsonb
 device_events               | catalog      | created_at             |                6 | timestamp with time zone | NO          | now()
 device_events               | public       | id                     |                1 | uuid                     | NO          | gen_random_uuid()
