         table_name          | table_schema |           column_name            | ordinal_position |        data_type         | is_nullable |                    column_default                     
-----------------------------+--------------+----------------------------------+------------------+--------------------------+-------------+-------------------------------------------------------
 admin_activity_logs         | catalog      | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 admin_activity_logs         | catalog      | ts                               |                2 | timestamp with time zone | NO          | now()
 admin_activity_logs         | catalog      | level                            |                3 | text                     | NO          | 'info'::text
 admin_activity_logs         | catalog      | scope                            |                4 | text                     | NO          | 
 admin_activity_logs         | catalog      | tenant_id                        |                5 | uuid                     | YES         | 
 admin_activity_logs         | catalog      | actor                            |                6 | text                     | YES         | 
 admin_activity_logs         | catalog      | action                           |                7 | text                     | YES         | 
 admin_activity_logs         | catalog      | path                             |                8 | text                     | YES         | 
 admin_activity_logs         | catalog      | method                           |                9 | text                     | YES         | 
 admin_activity_logs         | catalog      | status                           |               10 | integer                  | YES         | 
 admin_activity_logs         | catalog      | duration_ms                      |               11 | integer                  | YES         | 
 admin_activity_logs         | catalog      | ip                               |               12 | text                     | YES         | 
 admin_activity_logs         | catalog      | user_agent                       |               13 | text                     | YES         | 
 admin_activity_logs         | catalog      | meta                             |               14 | jsonb                    | YES         | 
 admin_activity_logs         | public       | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 admin_activity_logs         | public       | ts                               |                2 | timestamp with time zone | NO          | now()
 admin_activity_logs         | public       | level                            |                3 | text                     | NO          | 'info'::text
 admin_activity_logs         | public       | scope                            |                4 | text                     | NO          | 
 admin_activity_logs         | public       | tenant_id                        |                5 | uuid                     | YES         | 
 admin_activity_logs         | public       | actor                            |                6 | text                     | YES         | 
 admin_activity_logs         | public       | action                           |                7 | text                     | YES         | 
 admin_activity_logs         | public       | path                             |                8 | text                     | YES         | 
 admin_activity_logs         | public       | method                           |                9 | text                     | YES         | 
 admin_activity_logs         | public       | status                           |               10 | integer                  | YES         | 
 admin_activity_logs         | public       | duration_ms                      |               11 | integer                  | YES         | 
 admin_activity_logs         | public       | ip                               |               12 | text                     | YES         | 
 admin_activity_logs         | public       | user_agent                       |               13 | text                     | YES         | 
 admin_activity_logs         | public       | meta                             |               14 | jsonb                    | YES         | 
 audit_logs                  | audit        | log_id                           |                1 | uuid                     | NO          | gen_random_uuid()
 audit_logs                  | audit        | tenant_id                        |                2 | uuid                     | NO          | 
 audit_logs                  | audit        | user_id                          |                3 | uuid                     | YES         | 
 audit_logs                  | audit        | action                           |                4 | character varying        | NO          | 
 audit_logs                  | audit        | timestamp                        |                5 | timestamp with time zone | NO          | now()
 audit_logs                  | audit        | meta                             |                6 | jsonb                    | NO          | '{}'::jsonb
 audit_logs                  | public       | log_id                           |                1 | uuid                     | NO          | gen_random_uuid()
 audit_logs                  | public       | tenant_id                        |                2 | uuid                     | NO          | 
 audit_logs                  | public       | user_id                          |                3 | uuid                     | YES         | 
 audit_logs                  | public       | action                           |                4 | character varying        | NO          | 
 audit_logs                  | public       | timestamp                        |                5 | timestamp with time zone | NO          | now()
 audit_logs                  | public       | meta                             |                6 | jsonb                    | YES         | 
 branches                    | catalog      | branch_id                        |                1 | uuid                     | NO          | gen_random_uuid()
 branches                    | catalog      | tenant_id                        |                2 | uuid                     | NO          | 
 branches                    | catalog      | branch_name                      |                3 | text                     | NO          | 
 branches                    | catalog      | created_at                       |                4 | timestamp with time zone | NO          | now()
 branches                    | catalog      | id                               |                5 | uuid                     | YES         | 
 branches                    | public       | branch_id                        |                1 | uuid                     | NO          | gen_random_uuid()
 branches                    | public       | tenant_id                        |                2 | uuid                     | NO          | 
 branches                    | public       | branch_name                      |                3 | text                     | NO          | 
 branches                    | public       | created_at                       |                4 | timestamp with time zone | NO          | now()
 branches                    | public       | location                         |                5 | text                     | YES         | 
 branches                    | public       | expiry_date                      |                6 | date                     | YES         | 
 branches                    | public       | is_active                        |                7 | boolean                  | YES         | true
 branches                    | saas         | branch_id                        |                1 | uuid                     | NO          | gen_random_uuid()
 branches                    | saas         | tenant_id                        |                2 | uuid                     | NO          | 
 branches                    | saas         | branch_name                      |                3 | character varying        | NO          | 
 branches                    | saas         | location                         |                4 | character varying        | YES         | 
 branches                    | saas         | expiry_date                      |                5 | date                     | YES         | 
 branches                    | saas         | is_active                        |                6 | boolean                  | NO          | true
 branches                    | saas         | created_at                       |                7 | timestamp with time zone | NO          | now()
 branches                    | saas         | updated_at                       |                8 | timestamp with time zone | NO          | now()
 branches                    | saas         | deleted_at                       |                9 | timestamp with time zone | YES         | 
 categories                  | catalog      | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 categories                  | catalog      | tenant_id                        |                2 | uuid                     | NO          | 
 categories                  | catalog      | parent_id                        |                3 | uuid                     | YES         | 
 categories                  | catalog      | name                             |                4 | text                     | NO          | 
 categories                  | catalog      | slug                             |                5 | text                     | NO          | 
 categories                  | catalog      | status                           |                6 | text                     | NO          | 'active'::text
 categories                  | catalog      | created_at                       |                7 | timestamp with time zone | NO          | now()
 categories                  | catalog      | updated_at                       |                8 | timestamp with time zone | NO          | now()
 categories                  | catalog      | deleted_at                       |                9 | timestamp with time zone | YES         | 
 categories                  | catalog      | legacy_source                    |               10 | text                     | YES         | 
 categories                  | catalog      | legacy_id                        |               11 | text                     | YES         | 
 categories                  | catalog      | sort_order                       |               12 | integer                  | YES         | 
 categories                  | catalog      | is_featured                      |               13 | boolean                  | NO          | false
 categories                  | catalog      | tags                             |               14 | ARRAY                    | NO          | '{}'::text[]
 categories                  | catalog      | active                           |               15 | boolean                  | NO          | true
 categories                  | catalog      | deleted                          |               16 | boolean                  | NO          | false
 categories                  | catalog      | reference                        |               17 | text                     | YES         | 
 categories                  | catalog      | name_localized                   |               18 | text                     | YES         | 
 categories                  | catalog      | image_url                        |               19 | text                     | YES         | 
 categories                  | public       | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 categories                  | public       | tenant_id                        |                2 | uuid                     | NO          | 
 categories                  | public       | name                             |                3 | text                     | NO          | 
 categories                  | public       | reference                        |                4 | text                     | YES         | 
