id,tenant_id,name,created_at,reference,name_localized,image_url,meta,active,deleted
ac55b476-3c4f-4495-afda-a3dd68ad6b36,56ac557e-589d-4602-bc9b-946b201fb6f6,Sweet,2025-09-06 10:50:37.84297+00,,حلا,,{},true,false
f12e3779-c35f-4a81-8c22-9209671a73e7,56ac557e-589d-4602-bc9b-946b201fb6f6,Iced Drinks,2025-09-06 13:23:19.926754+00,,مشروبات باردة,,{},true,false
b4c346d6-ebcc-4455-8fd1-1cc08ef89c05,56ac557e-589d-4602-bc9b-946b201fb6f6,Hot Drinks,2025-09-06 13:23:50.032248+00,,مشروبات ساخنة,,{},true,false
2ca7993e-0880-4788-a9c5-a3dd0285970a,56ac557e-589d-4602-bc9b-946b201fb6f6,Mojito,2025-09-06 13:24:15.170944+00,,موهيتو,,{},true,false
da98da61-41c9-47ce-be21-3d464cd95943,56ac557e-589d-4602-bc9b-946b201fb6f6,Tea,2025-09-06 13:50:34.891259+00,,شاي,,{},true,false
806f8a0e-5cdd-46a9-a8d6-15c0df7c1af1,f8578f9c-782b-4d31-b04f-3b2d890c5896,Water | Juice,2025-09-07 13:48:54.287918+00,9,ماء وعصير,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1696663347_9a4f859c-85c5-47b6-86fa-1de38a24433e.png,{},true,false
574752a3-f17f-4d2c-9502-e01f24d119d7,f8578f9c-782b-4d31-b04f-3b2d890c5896,Croissant,2025-09-07 13:48:54.498272+00,8,كرواسان,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1696663001_9a4f838c-4766-435e-8bcd-3c0b30e9cc20.png,{},true,false
100c8989-860a-4727-a5ba-77da8cb5f2dd,f8578f9c-782b-4d31-b04f-3b2d890c5896,Iced Coffee,2025-09-07 13:48:52.758446+00,16,القهوة البارده,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1696331924_9a47ce2e-40ab-4514-a824-022dba274466.png,{},true,false
d029a421-ab56-41be-a90f-634115322626,f8578f9c-782b-4d31-b04f-3b2d890c5896,Frappe,2025-09-07 13:48:54.722815+00,17,فرابتشينو,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1755091766_9f9fea20-9ebe-4de2-a0e2-12e133ea5673.png,{},true,false
ff13b767-7d79-4516-ab59-cab12207f1f6,56ac557e-589d-4602-bc9b-946b201fb6f6,Croissants,2025-09-06 13:38:43.81468+00,,كرواسون,,{},true,false
6a60e031-f129-4f25-b7d9-eb57423c66f2,f8578f9c-782b-4d31-b04f-3b2d890c5896,Mojito | Iced Tea,2025-09-07 13:48:54.927816+00,7,موهيتو,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1696331706_9a47cce0-7401-42c7-9d61-66c1025c73d4.png,{},true,false
7665911e-3929-414a-8687-8fb790d7d17d,f8578f9c-782b-4d31-b04f-3b2d890c5896,Soft Serve,2025-09-07 13:48:55.150864+00,6,,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1684744496_993a03b8-fb7c-4d74-97c0-46e5be7dfc64.png,{},true,false
81e4d294-c46c-44be-b9ff-e3d1a01c2f02,56ac557e-589d-4602-bc9b-946b201fb6f6,Sandwiches,2025-09-06 13:38:08.245179+00,,ساندويتش,,{},true,false
cb2eb7fb-737f-47a7-a6f2-2a3d0934d465,f8578f9c-782b-4d31-b04f-3b2d890c5896,Hot Coffee,2025-09-07 13:48:52.952442+00,15,القهوة الساخنة,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1696331910_9a47ce17-dc33-4725-98f9-b03a2c58cd25.png,{},true,false
be2cb66f-3612-48f2-abbf-731afcda4112,f8578f9c-782b-4d31-b04f-3b2d890c5896,Speciality Coffee,2025-09-07 13:48:53.151791+00,14,القهوة المختصة,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1696664420_9a4f8c02-0586-4227-b76f-0e35cd76c7c5.png,{},true,false
924d5aa1-0a43-4234-aa26-b5e83dfa1068,f8578f9c-782b-4d31-b04f-3b2d890c5896,Sandwiches,2025-09-07 13:48:53.357638+00,13,السندويشات,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1696331893_9a47cdfd-cae7-43a1-88ef-bfa4994be4d2.png,{},true,false
bc86c448-6999-4ab7-a183-bf91fc4aa5ef,f8578f9c-782b-4d31-b04f-3b2d890c5896,Coffee Beans,2025-09-07 13:48:53.550928+00,12,حبوب القهوة,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1696331875_9a47cde3-365c-4188-85a4-3fd6bf21a8d2.png,{},true,false
