role_id,tenant_id,role_name,description,created_at
09186ca2-bcf1-4d0b-84ae-6b5e565de7e4,f8578f9c-782b-4d31-b04f-3b2d890c5896,Owner,Full access,2025-09-18 05:01:51.421764+00
e0cf9e40-c7ff-46e3-be2c-2063de26232e,56ac557e-589d-4602-bc9b-946b201fb6f6,Owner,Full access,2025-09-18 05:01:51.421764+00
f34a974e-3fd9-4706-aabd-d7b4ef0be4f3,f8578f9c-782b-4d31-b04f-3b2d890c5896,Admin,Administrative access,2025-09-18 05:01:51.421764+00
c6724aaf-a2bd-496f-a8dd-a4bf4ea9dbef,56ac557e-589d-4602-bc9b-946b201fb6f6,Admin,Administrative access,2025-09-18 05:01:51.421764+00
cbb72130-e85e-4369-874f-bf30e92395e3,f8578f9c-782b-4d31-b04f-3b2d890c5896,Manager,Manage core entities,2025-09-18 05:01:51.421764+00
7ae75e7c-c6df-4732-a785-8fb439dfd8dd,56ac557e-589d-4602-bc9b-946b201fb6f6,Manager,Manage core entities,2025-09-18 05:01:51.421764+00
75c369c9-c51a-44dc-9402-fa3731441330,f8578f9c-782b-4d31-b04f-3b2d890c5896,Staff,Operational read access,2025-09-18 05:01:51.421764+00
3916cc94-5c63-4a68-9717-ce6103d340a1,56ac557e-589d-4602-bc9b-946b201fb6f6,Staff,Operational read access,2025-09-18 05:01:51.421764+00
2069263f-6d91-468d-aa3a-bb58e313aa33,f8578f9c-782b-4d31-b04f-3b2d890c5896,Viewer,Read-only,2025-09-18 05:01:51.421764+00
76dd768c-2dce-410d-8f91-b7e40270e5e4,56ac557e-589d-4602-bc9b-946b201fb6f6,Viewer,Read-only,2025-09-18 05:01:51.421764+00
